SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),3647 West St,Oakland,CA,94608,1375000,12,4.0,Oakland,4736,5227,1912,77,290,,Active,,,http://www.redfin.com/CA/Oakland/3647-West-St-94608/home/1760441,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40925009,N,Y,37.8263822,-122.2722343
MLS Listing,,Multi-Family (2-4 Unit),1355 94th Ave,Oakland,CA,94603,599000,3,3.0,Oakland,1230,4313,1944,77,487,,Active,,,http://www.redfin.com/CA/Oakland/1355-94th-Ave-94603/home/1805681,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40924994,N,Y,37.7470438,-122.1732967
MLS Listing,,Multi-Family (2-4 Unit),1450 77th Ave,Oakland,CA,94621,459000,2,2.0,Oakland,1309,5010,1948,77,351,,Active,,,http://www.redfin.com/CA/Oakland/1450-77th-Ave-94621/home/1987113,San Francisco MLS,508085,N,Y,37.7585036,-122.1831857
MLS Listing,,Vacant Land,39 Lauriston Ct,Oakland,CA,94611,799000,,,Oakland,,51884,,79,,,Active,,,http://www.redfin.com/CA/Oakland/39-Lauriston-Ct-94611/home/167960463,San Francisco MLS,508008,N,Y,37.8451678,-122.2038725
MLS Listing,,Vacant Land,1 Lauriston Ct,Oakland,CA,94611,199900,,,Oakland,,9305,,79,,,Active,,,http://www.redfin.com/CA/Oakland/1-Lauriston-Ct-94611/home/167960450,San Francisco MLS,508007,N,Y,37.8451678,-122.2038725
MLS Listing,,Vacant Land,37 Lauriston Ct,Oakland,CA,94611,250000,,,Oakland,,23562,,79,,,Active,,,http://www.redfin.com/CA/Oakland/37-Lauriston-Ct-94611/home/167960462,San Francisco MLS,508005,N,Y,37.8451678,-122.2038725
MLS Listing,,Vacant Land,38 Lauriston Ct,Oakland,CA,94611,199000,,,Oakland,,10438,,79,,,Active,,,http://www.redfin.com/CA/Oakland/38-Lauriston-Ct-94611/home/167960460,San Francisco MLS,508004,N,Y,37.8451678,-122.2038725
MLS Listing,,Vacant Land,2 Lauriston Ct,Oakland,CA,94611,199000,,,Oakland,,8579,,79,,,Active,,,http://www.redfin.com/CA/Oakland/2-Lauriston-Ct-94611/home/167960464,San Francisco MLS,508003,N,Y,37.8451678,-122.2038725
MLS Listing,,Condo/Co-op,625 Madison St #108,Oakland,CA,94607,578000,2,2.0,Chinatown,905,9950,1984,80,639,503,Active,,,http://www.redfin.com/CA/Oakland/625-Madison-St-94607/unit-108/home/524561,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40924688,N,Y,37.7965966,-122.2674816
MLS Listing,,Condo/Co-op,901 Jefferson St #207,Oakland,CA,94607,599000,2,2.0,Oakland,822,22651,2008,80,729,543,Active,,,http://www.redfin.com/CA/Oakland/901-Jefferson-St-94607/unit-207/home/173384939,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40924626,N,Y,37.8027513,-122.2768642
MLS Listing,,Vacant Land,312 Monte Vis,Oakland,CA,94611,1200000,,,Oakland,,6400,,81,,,Active,,,http://www.redfin.com/CA/Oakland/312-Monte-Vista-Ave-94611/home/1830730,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40924317,N,Y,37.8228341,-122.2497022
MLS Listing,,Single Family Residential,1532 2nd Ave,Oakland,CA,94606,1900000,4,5.0,Lake Merrit,3162,5250,2007,82,601,,Active,,,http://www.redfin.com/CA/Oakland/1532-2nd-Ave-94606/home/532522,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40924279,N,Y,37.7988808,-122.2548331
MLS Listing,,Multi-Family (2-4 Unit),1326 E 28th St,Oakland,CA,94606,1300000,4,4.0,Oakland,2639,4982,1948,82,493,,Active,,,http://www.redfin.com/CA/Oakland/1326-E-28th-St-94606/home/534132,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40924205,N,Y,37.799018,-122.2346559
MLS Listing,,Condo/Co-op,455 Crescent St,Oakland,CA,94610,359000,1,1.0,Crescent Circle,546,,1968,83,658,512,Active,,,http://www.redfin.com/CA/Oakland/455-Crescent-St-94610/home/526161,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40924088,N,Y,37.8140595,-122.2502339
MLS Listing,,Condo/Co-op,2875 Glascock St #203,Oakland,CA,94601,729000,2,2.0,Oakland,1307,,2002,83,558,625,Active,,,http://www.redfin.com/CA/Oakland/2875-Glascock-St-94601/unit-203/home/2006928,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40923987,N,Y,37.7721314,-122.235161
MLS Listing,,Condo/Co-op,70 Yosemite Ave #310,Oakland,CA,94611,695000,2,1.5,Piedmont Avenue,1205,11332,1982,84,577,486,Active,,,http://www.redfin.com/CA/Oakland/70-Yosemite-Ave-94611/unit-310/home/1508009,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40923944,N,Y,37.822842,-122.2539388
MLS Listing,,Multi-Family (2-4 Unit),1821 Chestnut St,Oakland,CA,94607,799900,,,Oakland,1920,2940,1901,84,417,,Active,,,http://www.redfin.com/CA/Oakland/1821-Chestnut-St-94607/home/524994,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40923937,N,Y,37.8126681,-122.2841963
MLS Listing,,Vacant Land,6732 Sobrante Rd,Oakland,CA,94611,279000,,,Oakland,,14633,,85,,,Active,,,http://www.redfin.com/CA/Oakland/6732-Sobrante-Rd-94611/home/173350295,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40923832,N,Y,37.8432559,-122.2001187
MLS Listing,,Condo/Co-op,760 Canyon Oaks Dr Unit F,Oakland,CA,94605,550000,2,2.0,Sequioa,1123,,1988,86,490,490,Active,,,http://www.redfin.com/CA/Oakland/760-Canyon-Oaks-Dr-94605/unit-F/home/1618721,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40923727,N,Y,37.775436,-122.145563
MLS Listing,,Vacant Land,1699 12th St,OAKLAND,CA,94607,210000,,,OAKLAND,,2000,,88,,,Active,,,http://www.redfin.com/CA/Oakland/1699-12th-St-94607/home/22055424,MLSListings,ML81807671,N,Y,37.810948,-122.2976792
MLS Listing,,Vacant Land,3069 Monterey Blvd,Oakland,CA,94602,469000,,,Oakland,,10248,,89,,,Active,,,http://www.redfin.com/CA/Oakland/3069-Monterey-Blvd-94602/home/1981383,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40923128,N,Y,37.808454,-122.195753
MLS Listing,,Multi-Family (5+ Unit),275-279 Vernon St,Oakland,CA,94610,6780000,32,,Oakland,17202,18538,1955,90,394,,Active,,,http://www.redfin.com/CA/Oakland/275-Vernon-St-94610/home/22705691,San Francisco MLS,507145,N,Y,37.814559,-122.2576958
MLS Listing,,Condo/Co-op,3327 West St,Oakland,CA,94608,695000,3,2.0,Near Emeryville,1224,,1908,91,568,,Active,,,http://www.redfin.com/CA/Oakland/3327-West-St-94608/home/104497060,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922252,N,Y,37.8239527,-122.272903
MLS Listing,,Condo/Co-op,77 Fairmount Ave #118,Oakland,CA,94611,519000,1,1.0,Adams Point,783,,1970,94,663,430,Active,,,http://www.redfin.com/CA/Oakland/77-Fairmount-Ave-94611/unit-118/home/2114727,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922615,N,Y,37.8158891,-122.2603824
MLS Listing,,Condo/Co-op,655 12th St #103,Oakland,CA,94607,788800,2,2.0,Downtown,1250,,2003,94,631,405,Active,,,http://www.redfin.com/CA/Oakland/655-12th-St-94607/unit-103/home/1996047,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922598,N,Y,37.8046212,-122.2773889
